,index,Aboard,Fatalities,Ground
0,0,2.0,1.0,0.0
1,1,5.0,5.0,0.0
2,2,1.0,1.0,0.0
3,3,20.0,14.0,0.0
4,4,30.0,30.0,0.0
5,5,41.0,21.0,0.0
6,6,19.0,19.0,0.0
7,7,20.0,20.0,0.0
8,8,22.0,22.0,0.0
9,9,19.0,19.0,0.0
10,10,28.0,27.0,0.0
11,11,20.0,20.0,0.0
12,12,20.0,20.0,0.0
13,13,23.0,23.0,0.0
14,14,21.0,21.0,0.0
15,15,24.0,24.0,0.0
16,16,18.0,18.0,0.0
17,17,18.0,18.0,0.0
18,18,23.0,23.0,0.0
19,19,22.0,22.0,0.0
20,20,19.0,19.0,0.0
21,21,1.0,1.0,0.0
22,22,1.0,1.0,0.0
23,23,1.0,1.0,0.0
24,24,1.0,1.0,0.0
25,25,1.0,1.0,0.0
26,26,,,
27,27,1.0,1.0,0.0
28,28,1.0,1.0,0.0
29,29,1.0,1.0,0.0
30,30,2.0,1.0,0.0
31,31,2.0,1.0,0.0
32,32,2.0,1.0,0.0
33,33,1.0,1.0,0.0
34,34,1.0,1.0,0.0
35,35,1.0,1.0,0.0
36,36,2.0,2.0,0.0
37,37,2.0,2.0,0.0
38,38,1.0,1.0,0.0
39,39,2.0,2.0,0.0
40,40,2.0,2.0,0.0
41,41,1.0,1.0,0.0
42,42,1.0,1.0,0.0
43,43,8.0,4.0,0.0
44,44,1.0,1.0,0.0
45,45,1.0,1.0,0.0
46,46,3.0,3.0,0.0
47,47,2.0,2.0,0.0
48,48,1.0,1.0,0.0
49,49,2.0,1.0,0.0
50,50,1.0,1.0,0.0
51,51,1.0,1.0,0.0
52,52,1.0,1.0,0.0
53,53,1.0,1.0,0.0
54,54,2.0,2.0,0.0
55,55,46.0,46.0,1.0
56,56,5.0,5.0,0.0
57,57,3.0,3.0,0.0
58,58,5.0,5.0,5.0
59,59,45.0,34.0,0.0
60,60,7.0,7.0,0.0
61,61,17.0,17.0,0.0
62,62,3.0,3.0,0.0
63,63,1.0,1.0,0.0
64,64,3.0,3.0,0.0
65,65,3.0,3.0,0.0
66,66,1.0,1.0,0.0
67,67,4.0,4.0,0.0
68,68,2.0,2.0,0.0
69,69,1.0,1.0,0.0
70,70,4.0,3.0,0.0
71,71,1.0,1.0,0.0
72,72,1.0,1.0,0.0
73,73,1.0,1.0,0.0
74,74,6.0,6.0,0.0
75,75,2.0,2.0,0.0
76,76,1.0,1.0,0.0
77,77,6.0,6.0,0.0
78,78,4.0,2.0,0.0
79,79,1.0,1.0,0.0
80,80,52.0,52.0,0.0
81,81,1.0,1.0,0.0
82,82,1.0,1.0,0.0
83,83,3.0,3.0,0.0
84,84,3.0,3.0,0.0
85,85,1.0,1.0,0.0
86,86,1.0,1.0,0.0
87,87,1.0,1.0,0.0
88,88,8.0,8.0,0.0
89,89,5.0,5.0,0.0
90,90,4.0,4.0,0.0
91,91,2.0,2.0,0.0
92,92,4.0,4.0,0.0
93,93,2.0,2.0,0.0
94,94,1.0,1.0,0.0
95,95,1.0,1.0,0.0
96,96,43.0,14.0,0.0
97,97,3.0,3.0,0.0
98,98,2.0,2.0,0.0
99,99,1.0,1.0,0.0
100,100,1.0,1.0,0.0
101,101,1.0,1.0,0.0
102,102,7.0,7.0,0.0
103,103,2.0,2.0,0.0
104,104,4.0,4.0,0.0
105,105,4.0,4.0,0.0
106,106,5.0,2.0,0.0
107,107,4.0,4.0,0.0
108,108,12.0,0.0,0.0
109,109,3.0,3.0,0.0
110,110,1.0,1.0,0.0
111,111,2.0,2.0,0.0
112,112,1.0,1.0,0.0
113,113,3.0,3.0,0.0
114,114,1.0,1.0,0.0
115,115,1.0,1.0,0.0
116,116,2.0,2.0,0.0
117,117,3.0,1.0,0.0
118,118,5.0,5.0,0.0
119,119,11.0,1.0,0.0
120,120,1.0,1.0,0.0
121,121,12.0,7.0,0.0
122,122,4.0,2.0,0.0
123,123,6.0,6.0,0.0
124,124,2.0,2.0,0.0
125,125,4.0,4.0,0.0
126,126,1.0,1.0,0.0
127,127,6.0,6.0,0.0
128,128,1.0,1.0,0.0
129,129,2.0,2.0,0.0
130,130,1.0,1.0,0.0
131,131,4.0,4.0,0.0
132,132,3.0,3.0,0.0
133,133,2.0,2.0,0.0
134,134,2.0,2.0,0.0
135,135,2.0,1.0,0.0
136,136,1.0,1.0,0.0
137,137,2.0,1.0,0.0
138,138,10.0,10.0,0.0
139,139,2.0,2.0,0.0
140,140,2.0,1.0,0.0
141,141,9.0,9.0,0.0
142,142,1.0,1.0,0.0
143,143,2.0,2.0,0.0
144,144,5.0,3.0,0.0
145,145,5.0,5.0,0.0
146,146,1.0,1.0,0.0
147,147,6.0,6.0,0.0
148,148,4.0,4.0,0.0
149,149,1.0,1.0,0.0
150,150,7.0,7.0,0.0
151,151,3.0,3.0,0.0
152,152,2.0,1.0,0.0
153,153,7.0,7.0,0.0
154,154,3.0,3.0,0.0
155,155,3.0,3.0,0.0
156,156,1.0,1.0,0.0
157,157,2.0,1.0,0.0
158,158,2.0,1.0,0.0
159,159,3.0,3.0,0.0
160,160,1.0,1.0,0.0
161,161,3.0,3.0,0.0
162,162,5.0,5.0,0.0
163,163,14.0,14.0,0.0
164,164,6.0,6.0,0.0
165,165,4.0,3.0,0.0
166,166,1.0,1.0,0.0
167,167,4.0,4.0,0.0
168,168,3.0,2.0,0.0
169,169,1.0,1.0,0.0
170,170,1.0,1.0,0.0
171,171,9.0,2.0,0.0
172,172,1.0,1.0,0.0
173,173,2.0,2.0,0.0
174,174,15.0,14.0,0.0
175,175,4.0,4.0,0.0
176,176,6.0,6.0,0.0
177,177,2.0,2.0,0.0
178,178,5.0,4.0,0.0
179,179,5.0,2.0,0.0
180,180,2.0,1.0,0.0
181,181,13.0,7.0,0.0
182,182,8.0,1.0,0.0
183,183,5.0,5.0,0.0
184,184,1.0,1.0,0.0
185,185,4.0,4.0,0.0
186,186,1.0,1.0,0.0
187,187,1.0,1.0,0.0
188,188,5.0,4.0,0.0
189,189,2.0,1.0,0.0
190,190,8.0,8.0,0.0
191,191,5.0,3.0,0.0
192,192,5.0,5.0,0.0
